சூப்பர்ஹீரோக்கள் கிராண்ட்மாஸ்டர் ஹல்க்கை ப்ரூஸ் மெட்ரோபோலீஸும் ஜஸ்டிஸ்
சூ,425,720
ப்,720,745
ப,745,900
ர்,900,930
ஹீ,930,1145
ரோ,1145,1290
க்,1290,1305
க,1305,1405
ள்,1405,1550
கி,1550,1640
ரா,1640,1785
ண்,1785,1850
ட்,1850,1870
மா,1870,2045
ஸ்,2045,2110
ட,2110,2255
ர்,2255,2285
ஹ,2285,2405
ல்,2405,2480
க்,2480,2555
கை,2555,2660
ப்,2660,2775
ரூ,2775,2885
ஸ்,2885,3020
மெ,3020,3140
ட்,3140,3285
ரோ,3285,3430
போ,3430,3635
லீ,3635,3795
ஸு,3795,4000
ம்,4000,4030
ஜ,4030,4155
ஸ்,4155,4245
டி,4245,4380
ஸ்,4380,4455
