கஷ்டத்துடன் ஜொலித்த ஜொலிப்பதற்கு அஜாக்கிரதையை விஹாரத்தின் பிக்ஷுக்கள்
க,400,540
ஷ்,540,635
ட,635,765
த்,765,795
து,795,935
ட,935,1050
ன்,1050,1155
ஜொ,1155,1335
லி,1335,1435
த்,1435,1510
த,1510,1640
ஜொ,1640,1830
லி,1830,1925
ப்,1925,1985
ப,1985,2085
த,2085,2185
ற்,2185,2275
கு,2275,2610
அ,2875,2995
ஜா,2995,3180
க்,3180,3225
கி,3225,3335
ர,3335,3415
தை,3415,3560
யை,3560,3730
வி,3730,3870
ஹா,3870,4075
ர,4075,4130
த்,4130,4170
தி,4170,4315
ன்,4315,4405
பி,4405,4550
க்,4550,4625
ஷு,4625,4795
க்,4795,4810
க,4810,4940
ள்,4940,5050
