ஏனெனில் இரண்டு சொற்களும் வழக்கில் இருக்கவேண்டும் என்னும் கருத்தில்
ஏ,425,630
னெ,630,740
னி,740,855
ல்,855,920
இ,920,1040
ர,1040,1155
ண்,1155,1250
டு,1250,1345
சொ,1345,1540
ற்,1540,1575
க,1575,1750
ளு,1750,1800
ம்,1800,1945
வ,1945,2050
ழ,2050,2170
க்,2170,2210
கி,2210,2345
ல்,2345,2400
இ,2400,2520
ரு,2520,2620
க்,2620,2635
க,2635,2780
வே,2780,2930
ண்,2930,3030
டு,3030,3060
ம்,3060,3280
எ,3325,3710
ன்,3710,3735
னு,3735,3830
ம்,3830,3965
க,3965,4110
ரு,4110,4165
த்,4165,4240
தி,4240,4350
ல்,4350,4400
