அரசிளங்குமரிகள் ராணிகள் மகாராணிகள் இந்தப் பெண்ணரசியின் பாதங்களைத்
அ,435,570
ர,570,635
சி,635,815
ள,815,905
ங்,905,990
கு,990,1050
ம,1050,1175
ரி,1175,1310
க,1310,1470
ள்,1470,1585
ரா,1805,2050
ணி,2050,2235
க,2235,2390
ள்,2390,2520
ம,2535,2995
கா,2995,3210
ரா,3210,3360
ணி,3360,3525
க,3525,3690
ள்,3690,3850
இ,3850,4215
ந்,4215,4305
த,4305,4375
ப்,4375,4420
பெ,4420,4550
ண்,4550,4650
ண,4650,4740
ர,4740,4800
சி,4800,4940
யி,4940,5075
ன்,5075,5165
பா,5165,5370
த,5370,5450
ங்,5450,5530
க,5530,5610
ளை,5610,5825
த்,5825,5970
