சிவன் கோயிலில் உள்ள நவக்கிரகத்தில் அமைந்திருக்கும் சனீஸ்வரருக்கு
சி,245,665
வ,665,765
ன்,765,860
கோ,895,1045
யி,1045,1150
லி,1150,1260
ல்,1260,1340
உ,1340,1465
ள்,1465,1575
ள,1575,1810
ந,1865,2270
வ,2270,2405
க்,2405,2420
கி,2420,2555
ர,2555,2685
க,2685,2770
த்,2770,2800
தி,2800,2935
ல்,2935,3045
அ,3045,3140
மை,3140,3310
ந்,3310,3385
தி,3385,3515
ரு,3515,3545
க்,3545,3560
கு,3560,3700
ம்,3700,3805
ச,3805,4000
னீ,4000,4115
ஸ்,4115,4245
வ,4245,4335
ர,4335,4425
ரு,4425,4505
க்,4505,4520
கு,4520,4845
