விஹாரத்துக்குள் விஹாரத்துக்குள்ளே மாஹியங்கானா ஷேத்திரங்களுக்கும் க்ஷேத்திரங்களையும் ஜோசியத்தை
வி,250,630
ஹா,630,860
ர,860,925
த்,925,960
து,960,1100
க்,1100,1120
கு,1120,1345
ள்,1345,1360
வி,1360,1515
ஹா,1515,1715
ர,1715,1775
த்,1775,1805
து,1805,1945
க்,1945,1960
கு,1960,2165
ள்,2165,2180
ளே,2180,2310
மா,2310,2555
ஹி,2555,2635
ய,2635,2740
ங்,2740,2830
கா,2830,2975
னா,2975,3155
ஷே,3155,3390
த்,3390,3435
தி,3435,3495
ர,3495,3595
ங்,3595,3685
க,3685,3790
ளு,3790,3860
க்,3860,3895
கு,3895,4020
ம்,4020,4200
க்,4555,4605
ஷே,4605,4935
த்,4935,5000
தி,5000,5070
ர,5070,5160
ங்,5160,5255
க,5255,5350
ளை,5350,5440
யு,5440,5545
ம்,5545,5660
ஜோ,5660,5860
சி,5860,5995
ய,5995,6085
த்,6085,6115
தை,6115,6290
