சுந்தரம் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் ஜெய்சங்கர் விஜயலக்ஸ்மி மற்றும் பலரும் நடித்துள்ளனர்
சு,440,645
ந்,645,745
த,745,820
ர,820,880
ம்,880,985
இ,985,1075
ய,1075,1190
க்,1190,1215
க,1215,1355
த்,1355,1390
தி,1390,1580
ல்,1580,1720
வெ,2070,2275
ளி,2275,2370
வ,2370,2475
ந்,2475,2555
த,2555,2595
இ,2595,2775
த்,2775,2810
தி,2810,2885
ரை,2885,3025
ப்,3025,3085
ப,3085,3175
ட,3175,3270
த்,3270,3310
தி,3310,3490
ல்,3490,3625
ஜெ,3935,4130
ய்,4130,4235
ச,4235,4405
ங்,4405,4490
க,4490,4580
ர்,4580,4595
வி,4595,4755
ஜ,4755,4825
ய,4825,4945
ல,4945,5005
க்,5005,5065
ஸ்,5065,5085
மி,5085,5255
ம,5255,5440
ற்,5440,5485
று,5485,5645
ம்,5645,5660
ப,5660,6220
ல,6220,6345
ரு,6345,6450
ம்,6450,6465
ந,6465,6660
டி,6660,6785
த்,6785,6865
து,6865,6960
ள்,6960,7025
ள,7025,7130
ன,7130,7225
ர்,7225,7285
