விடவில்லை எல்லாம் இந்த ஜாதகத்தில் குறிப்பிட்டிருப்பதைத்தான் சொல்லுகிறேன்
வி,250,575
ட,575,730
வி,730,825
ல்,825,915
லை,915,1130
எ,1130,1600
ல்,1600,1680
லா,1680,1800
ம்,1800,1890
இ,1890,1990
ந்,1990,2070
த,2070,2190
ஜா,2190,2425
த,2425,2560
க,2560,2655
த்,2655,2675
தி,2675,2820
ல்,2820,2900
கு,2900,3055
றி,3055,3135
ப்,3135,3155
பி,3155,3300
ட்,3300,3340
டி,3340,3475
ரு,3475,3540
ப்,3540,3570
ப,3570,3700
தை,3700,3890
த்,3890,3905
தா,3905,4065
ன்,4065,4140
சொ,4140,4350
ல்,4350,4390
லு,4390,4420
கி,4420,4575
றே,4575,4695
ன்,4695,4720
