உளுத்தம்பருப்பு கறிவேப்பிலை பெருங்காயத்தூள் தாளிக்கவும் அதனுடன் பறங்கிக்காய்
உ,250,495
ளு,495,585
த்,585,610
த,610,745
ம்,745,835
ப,835,905
ரு,905,980
ப்,980,1010
பு,1010,1175
க,1175,1340
றி,1340,1425
வே,1425,1585
ப்,1585,1630
பி,1630,1740
லை,1740,2070
பெ,2160,2500
ரு,2500,2590
ங்,2590,2665
கா,2665,2800
ய,2800,2930
த்,2930,2955
தூ,2955,3150
ள்,3150,3220
தா,3220,3460
ளி,3460,3580
க்,3580,3595
க,3595,3690
வு,3690,3805
ம்,3805,3930
அ,3930,4050
த,4050,4130
னு,4130,4180
ட,4180,4325
ன்,4325,4410
ப,4410,4620
ற,4620,4650
ங்,4650,4705
கி,4705,4805
க்,4805,4825
கா,4825,5025
ய்,5025,5070
