கொதிக்கவைத்து இறக்கவும் கொண்டைக்கடலை பறங்கி புளிக்கூட்டு தேவையானவை
கொ,350,555
தி,555,675
க்,675,700
க,700,790
வை,790,1020
த்,1020,1040
து,1040,1410
இ,1410,1745
ற,1745,1845
க்,1845,1860
க,1860,1965
வு,1965,2090
ம்,2090,2190
கொ,2215,2325
ண்,2325,2405
டை,2405,2550
க்,2550,2565
க,2565,2680
ட,2680,2785
லை,2785,3105
ப,3195,3550
ற,3550,3610
ங்,3610,3690
கி,3690,3790
பு,3790,3955
ளி,3955,4075
க்,4075,4090
கூ,4090,4275
ட்,4275,4290
டு,4290,4455
தே,4455,4675
வை,4675,4760
யா,4760,4945
ன,4945,5025
வை,5025,5165
