க்ஷேத்திரத்தில் க்ஷேத்திர விஜயம் விஜயாலயச் இராஜாதித்யர் இராஜாதித்தர்
க்,395,475
ஷே,475,800
த்,800,870
தி,870,930
ர,930,1025
த்,1025,1055
தி,1055,1255
ல்,1255,1470
க்,1740,1790
ஷே,1790,2125
த்,2125,2185
தி,2185,2260
ர,2260,2385
வி,2385,2520
ஜ,2520,2580
ய,2580,2695
ம்,2695,2715
வி,2715,2875
ஜ,2875,2950
யா,2950,3030
ல,3030,3225
ய,3225,3300
ச்,3300,3400
இ,3400,3415
ரா,3415,3565
ஜா,3565,3790
தி,3790,3980
த்,3980,4030
ய,4030,4150
ர்,4150,4235
இ,4235,4275
ரா,4275,4420
ஜா,4420,4650
தி,4650,4835
த்,4835,4880
த,4880,5025
ர்,5025,5075
