மனைவிவழி உறவினர்களுடன் மனஸ்தாபங்கள் வந்தாலும் முடிவில் சமாதானம்
ம,245,640
னை,640,775
வி,775,895
வ,895,985
ழி,985,1135
உ,1135,1275
ற,1275,1370
வி,1370,1470
ன,1470,1575
ர்,1575,1615
க,1615,1735
ளு,1735,1805
ட,1805,1945
ன்,1945,2030
ம,2030,2205
ன,2205,2285
ஸ்,2285,2370
தா,2370,2565
ப,2565,2675
ங்,2675,2765
க,2765,2880
ள்,2880,2910
வ,2910,3060
ந்,3060,3140
தா,3140,3295
லு,3295,3400
ம்,3400,3520
மு,3610,4015
டி,4015,4155
வி,4155,4265
ல்,4265,4340
ச,4340,4535
மா,4535,4720
தா,4720,4900
ன,4900,4985
ம்,4985,5025
