விக்கிபீடியா பயனர்கள் பாலாஜி மற்றும் கோபி உடைய ஆக்கத்தை அடிப்படையாகக் கொண்டது
வி,445,635
க்,635,655
கி,655,805
பீ,805,1000
டி,1000,1055
யா,1055,1265
ப,1265,1445
ய,1445,1565
ன,1565,1670
ர்,1670,1720
க,1720,1880
ள்,1880,1895
பா,1895,2135
லா,2135,2285
ஜி,2285,2455
ம,2455,2590
ற்,2590,2620
று,2620,2780
ம்,2780,2985
கோ,3335,3520
பி,3520,3675
உ,3675,3805
டை,3805,3920
ய,3920,4075
ஆ,4075,4210
க்,4210,4245
க,4245,4375
த்,4375,4410
தை,4410,4625
அ,4625,4730
டி,4730,4855
ப்,4855,4905
ப,4905,4970
டை,4970,5100
யா,5100,5275
க,5275,5390
க்,5390,5415
கொ,5415,5580
ண்,5580,5665
ட,5665,5705
து,5705,5855
