இராஜகுமாரிகளும் இஷ்டப்படாவிட்டால் ஜாடையாயிருப்பதாகச் ஜாடையினால் கஷ்டந்தான் கஷ்டமான
இ,425,480
ரா,480,700
ஜ,700,775
கு,775,825
மா,825,995
ரி,995,1135
க,1135,1320
ளு,1320,1375
ம்,1375,1390
இ,1390,1520
ஷ்,1520,1625
ட,1625,1770
ப்,1770,1815
ப,1815,1925
டா,1925,2020
வி,2020,2180
ட்,2180,2220
டா,2220,2350
ல்,2350,2485
ஜா,2485,3055
டை,3055,3260
யா,3260,3375
யி,3375,3565
ரு,3565,3625
ப்,3625,3660
ப,3660,3770
தா,3770,3880
க,3880,4075
ச்,4075,4120
ஜா,4120,4285
டை,4285,4455
யி,4455,4585
னா,4585,4645
ல்,4645,4760
க,4760,4915
ஷ்,4915,4975
ட,4975,5125
ந்,5125,5170
தா,5170,5290
ன்,5290,5390
க,5390,5550
ஷ்,5550,5615
ட,5615,5760
மா,5760,5875
ன,5875,6040
